Bag 1 C,Bag 2 C,Bag 3 N,Bag 4 N,Bag 5 N,Bag 5 C,Bag 4 C,Bag 3 C,Bag 2 N,Bag 1 N
2.572909,1.107181,0,0,0.004865,4.594804,2.161358,3.982441,0,0.016631
3.049633,0.8065129,0,0,0,5.558218,2.841322,4.803036,0,0.069815
2.120129,1.517557,0,0,0,6.384916,4.131905,1.750799,0,0.020139
2.471087,1.627815,0.002896,0,0,6.323153,4.045234,2.526006,0,0.006119
1.892708,1.92051,0,0,0,6.943139,3.539724,3.45535,0,0.036125
2.964438,1.872165,0,0,0.042457,6.259845,3.578582,3.197953,0,0.053576
2.218686,1.957141,0,0,0.039164,6.360912,4.380167,1.759426,0,0
2.334607,1.061393,0.086702,0,0.012732,6.243187,4.803036,2.716019,0,0.001383
2.896909,1.205728,0,0,0.011011,7.26862,3.288118,2.745966,0,0.068982
1.919397,1.175673,0,0,0,6.398819,3.508107,3.334041,0,0.008887
