Reading,Receive,Value,Unit,Data Quality
2018-04-08 14:43:48,2018-04-08 14:44:03,0.00,in,A
2018-04-08 02:43:45,2018-04-08 02:44:05,0.00,in,A
2018-04-07 14:43:47,2018-04-07 14:44:03,0.00,in,A
2018-04-07 02:43:44,2018-04-07 02:44:05,0.00,in,A
2018-04-06 14:43:45,2018-04-06 14:44:03,0.00,in,A
2018-04-06 02:43:42,2018-04-06 02:43:45,0.00,in,A
2018-04-05 14:43:43,2018-04-05 14:44:03,0.00,in,A
2018-04-05 02:43:41,2018-04-05 02:43:45,0.00,in,A
2018-04-04 14:43:42,2018-04-04 14:43:43,0.00,in,A
2018-04-04 02:43:40,2018-04-04 02:43:43,0.00,in,A
2018-04-03 14:43:38,2018-04-03 14:43:45,0.00,in,A
2018-04-03 02:43:37,2018-04-03 02:43:45,0.00,in,A
2018-04-02 14:43:38,2018-04-02 14:43:43,0.00,in,A
2018-04-02 02:43:35,2018-04-02 02:43:45,0.00,in,A
2018-04-01 14:43:36,2018-04-01 14:43:43,0.00,in,A
2018-04-01 02:43:34,2018-04-01 02:43:45,0.00,in,A
2018-03-31 14:43:35,2018-03-31 14:43:43,0.00,in,A
2018-03-30 14:43:33,2018-03-30 14:43:43,0.00,in,A
2018-03-29 14:43:29,2018-03-29 14:43:45,0.00,in,A
2018-03-28 14:43:28,2018-03-28 14:43:45,0.00,in,A
2018-03-28 02:43:26,2018-03-28 02:43:45,0.00,in,A
2018-03-27 14:43:26,2018-03-27 14:43:45,0.00,in,A
2018-03-27 02:43:27,2018-03-27 02:43:43,0.00,in,A
2018-03-26 14:43:25,2018-03-26 14:43:43,0.00,in,A
2018-03-26 02:43:26,2018-03-26 02:43:43,0.00,in,A
2018-03-25 14:43:24,2018-03-25 14:43:43,0.00,in,A
2018-03-25 02:43:23,2018-03-25 02:43:43,0.00,in,A
2018-03-24 14:43:23,2018-03-24 14:43:43,0.00,in,A
2018-03-24 02:43:21,2018-03-24 02:43:23,0.00,in,A
2018-03-23 14:43:21,2018-03-23 14:43:23,0.00,in,A
2018-03-23 02:43:17,2018-03-23 02:43:25,0.02,in,A
2018-03-22 21:30:02,2018-03-22 21:30:06,0.01,in,A
2018-03-22 21:28:38,2018-03-22 21:28:45,0.01,in,A
2018-03-22 21:28:17,2018-03-22 21:28:25,0.01,in,A
2018-03-22 21:27:22,2018-03-22 21:27:25,0.01,in,A
2018-03-22 21:26:03,2018-03-22 21:26:25,0.03,in,A
2018-03-22 21:23:38,2018-03-22 21:23:45,0.01,in,A
2018-03-22 21:07:33,2018-03-22 21:07:45,0.01,in,A
2018-03-22 20:52:12,2018-03-22 20:52:25,0.01,in,A
2018-03-22 20:22:54,2018-03-22 20:23:06,0.01,in,A
2018-03-22 20:16:17,2018-03-22 20:16:25,0.01,in,A
2018-03-22 20:13:58,2018-03-22 20:14:05,0.01,in,A
2018-03-22 20:11:57,2018-03-22 20:12:05,0.01,in,A
2018-03-22 20:06:23,2018-03-22 20:06:46,0.01,in,A
2018-03-22 19:48:37,2018-03-22 19:48:46,0.01,in,A
2018-03-22 19:38:48,2018-03-22 19:39:05,0.01,in,A
2018-03-22 19:32:23,2018-03-22 19:32:46,0.01,in,A
2018-03-22 19:31:20,2018-03-22 19:31:25,0.01,in,A
2018-03-22 19:30:00,2018-03-22 19:30:05,0.01,in,A
2018-03-22 19:29:07,2018-03-22 19:29:25,0.01,in,A
2018-03-22 19:23:40,2018-03-22 19:23:45,0.01,in,A
2018-03-22 19:21:18,2018-03-22 19:21:25,0.01,in,A
2018-03-22 19:19:54,2018-03-22 19:20:05,0.01,in,A
2018-03-22 19:08:30,2018-03-22 19:08:45,0.03,in,A
2018-03-22 16:57:17,2018-03-22 16:57:25,0.01,in,A
2018-03-22 16:30:55,2018-03-22 16:31:05,0.01,in,A
2018-03-22 14:43:17,2018-03-22 14:43:25,0.00,in,A
2018-03-22 14:15:43,2018-03-22 14:16:05,0.01,in,A
2018-03-22 13:36:33,2018-03-22 13:36:45,0.01,in,A
2018-03-22 13:27:15,2018-03-22 13:27:25,0.01,in,A
2018-03-22 13:11:06,2018-03-22 13:11:26,0.01,in,A
2018-03-22 12:57:09,2018-03-22 12:57:26,0.01,in,A
2018-03-22 12:41:25,2018-03-22 12:41:45,0.01,in,A
2018-03-22 12:35:56,2018-03-22 12:36:05,0.01,in,A
2018-03-22 12:31:26,2018-03-22 12:31:45,0.02,in,A
2018-03-22 12:25:27,2018-03-22 12:25:45,0.02,in,A
2018-03-22 12:23:07,2018-03-22 12:23:25,0.02,in,A
2018-03-22 12:21:29,2018-03-22 12:21:45,0.01,in,A
2018-03-22 12:19:35,2018-03-22 12:19:45,0.01,in,A
2018-03-22 12:18:37,2018-03-22 12:18:46,0.01,in,A
2018-03-22 12:17:43,2018-03-22 12:18:05,0.01,in,A
2018-03-22 12:16:12,2018-03-22 12:16:26,0.01,in,A
2018-03-22 12:14:12,2018-03-22 12:14:25,0.01,in,A
2018-03-22 12:09:44,2018-03-22 12:10:05,0.01,in,A
2018-03-22 12:04:21,2018-03-22 12:04:25,0.01,in,A
2018-03-22 12:02:27,2018-03-22 12:02:46,0.01,in,A
2018-03-22 11:59:53,2018-03-22 12:00:05,0.01,in,A
2018-03-22 11:54:43,2018-03-22 11:55:06,0.01,in,A
2018-03-22 11:51:26,2018-03-22 11:51:45,0.01,in,A
2018-03-22 11:47:24,2018-03-22 11:47:45,0.01,in,A
2018-03-22 11:45:13,2018-03-22 11:45:25,0.01,in,A
2018-03-22 11:43:51,2018-03-22 11:44:05,0.01,in,A
2018-03-22 11:42:47,2018-03-22 11:43:05,0.01,in,A
2018-03-22 11:39:15,2018-03-22 11:39:25,0.01,in,A
2018-03-22 11:37:09,2018-03-22 11:37:25,0.01,in,A
2018-03-22 11:36:17,2018-03-22 11:36:26,0.01,in,A
2018-03-22 11:33:05,2018-03-22 11:33:25,0.01,in,A
2018-03-22 11:31:07,2018-03-22 11:31:26,0.01,in,A
2018-03-22 11:26:51,2018-03-22 11:27:05,0.01,in,A
2018-03-22 11:25:37,2018-03-22 11:25:46,0.01,in,A
2018-03-22 11:23:40,2018-03-22 11:23:47,0.02,in,A
2018-03-22 11:17:51,2018-03-22 11:18:06,0.01,in,A
2018-03-22 11:16:31,2018-03-22 11:16:46,0.01,in,A
2018-03-22 11:13:46,2018-03-22 11:14:06,0.01,in,A
2018-03-22 11:12:14,2018-03-22 11:12:25,0.01,in,A
2018-03-22 11:09:48,2018-03-22 11:10:05,0.01,in,A
2018-03-22 11:08:27,2018-03-22 11:08:45,0.01,in,A
2018-03-22 11:06:18,2018-03-22 11:06:27,0.01,in,A
2018-03-22 11:05:13,2018-03-22 11:05:25,0.01,in,A
2018-03-22 11:04:22,2018-03-22 11:04:25,0.01,in,A
2018-03-22 11:02:53,2018-03-22 11:03:06,0.01,in,A
2018-03-22 11:02:02,2018-03-22 11:02:06,0.01,in,A
