STATION,STATION_NAME,ELEVATION,LATITUDE,LONGITUDE,DATE,HPCP,Measurement Flag,Quality Flag
COOP:047902,SANTA BARBARA CA US,4.9,34.41667,-119.68444,20041001 00:00,999.99,}, 
COOP:047902,SANTA BARBARA CA US,4.9,34.41667,-119.68444,20041001 01:00,999.99,{, 
COOP:047902,SANTA BARBARA CA US,4.9,34.41667,-119.68444,20041001 09:00,999.99,}, 
COOP:047902,SANTA BARBARA CA US,4.9,34.41667,-119.68444,20041016 22:00,0.10, , 
COOP:047902,SANTA BARBARA CA US,4.9,34.41667,-119.68444,20041016 23:00,0.10, , 
COOP:047902,SANTA BARBARA CA US,4.9,34.41667,-119.68444,20041017 07:00,0.10, , 
COOP:047902,SANTA BARBARA CA US,4.9,34.41667,-119.68444,20041017 22:00,0.10, , 
COOP:047902,SANTA BARBARA CA US,4.9,34.41667,-119.68444,20041018 07:00,0.10, , 
COOP:047902,SANTA BARBARA CA US,4.9,34.41667,-119.68444,20041018 08:00,0.20, , 
COOP:047902,SANTA BARBARA CA US,4.9,34.41667,-119.68444,20041018 11:00,0.10, , 
COOP:047902,SANTA BARBARA CA US,4.9,34.41667,-119.68444,20041019 15:00,0.10, , 
COOP:047902,SANTA BARBARA CA US,4.9,34.41667,-119.68444,20041019 17:00,0.30, , 
COOP:047902,SANTA BARBARA CA US,4.9,34.41667,-119.68444,20041019 18:00,0.30, , 
COOP:047902,SANTA BARBARA CA US,4.9,34.41667,-119.68444,20041019 19:00,0.50, , 
COOP:047902,SANTA BARBARA CA US,4.9,34.41667,-119.68444,20041019 20:00,0.30, , 
COOP:047902,SANTA BARBARA CA US,4.9,34.41667,-119.68444,20041019 21:00,0.10, , 
COOP:047902,SANTA BARBARA CA US,4.9,34.41667,-119.68444,20041019 22:00,0.10, , 
COOP:047902,SANTA BARBARA CA US,4.9,34.41667,-119.68444,20041020 01:00,0.10, , 
COOP:047902,SANTA BARBARA CA US,4.9,34.41667,-119.68444,20041020 04:00,0.10, , 
COOP:047902,SANTA BARBARA CA US,4.9,34.41667,-119.68444,20041020 08:00,0.10, , 
COOP:047902,SANTA BARBARA CA US,4.9,34.41667,-119.68444,20041026 12:00,0.10, , 
COOP:047902,SANTA BARBARA CA US,4.9,34.41667,-119.68444,20041026 13:00,0.10, , 
COOP:047902,SANTA BARBARA CA US,4.9,34.41667,-119.68444,20041026 14:00,0.10, , 
COOP:047902,SANTA BARBARA CA US,4.9,34.41667,-119.68444,20041026 15:00,0.10, , 
COOP:047902,SANTA BARBARA CA US,4.9,34.41667,-119.68444,20041026 16:00,0.20, , 
COOP:047902,SANTA BARBARA CA US,4.9,34.41667,-119.68444,20041026 18:00,0.10, , 
COOP:047902,SANTA BARBARA CA US,4.9,34.41667,-119.68444,20041026 19:00,0.10, , 
COOP:047902,SANTA BARBARA CA US,4.9,34.41667,-119.68444,20041026 20:00,0.20, , 
COOP:047902,SANTA BARBARA CA US,4.9,34.41667,-119.68444,20041101 01:00,0.00,g, 
COOP:047902,SANTA BARBARA CA US,4.9,34.41667,-119.68444,20041101 07:00,999.99,{, 
COOP:047902,SANTA BARBARA CA US,4.9,34.41667,-119.68444,20041104 07:00,999.99,}, 
COOP:047902,SANTA BARBARA CA US,4.9,34.41667,-119.68444,20041104 08:00,999.99,[, 
COOP:047902,SANTA BARBARA CA US,4.9,34.41667,-119.68444,20041104 21:00,999.99,], 
COOP:047902,SANTA BARBARA CA US,4.9,34.41667,-119.68444,20041108 15:00,0.10, , 
COOP:047902,SANTA BARBARA CA US,4.9,34.41667,-119.68444,20041109 15:00,0.10, , 
COOP:047902,SANTA BARBARA CA US,4.9,34.41667,-119.68444,20041201 01:00,0.00,g, 
COOP:047902,SANTA BARBARA CA US,4.9,34.41667,-119.68444,20041205 09:00,0.10, , 
COOP:047902,SANTA BARBARA CA US,4.9,34.41667,-119.68444,20041205 12:00,0.10, , 
COOP:047902,SANTA BARBARA CA US,4.9,34.41667,-119.68444,20041205 14:00,0.10, , 
COOP:047902,SANTA BARBARA CA US,4.9,34.41667,-119.68444,20041207 16:00,0.10, , 
COOP:047902,SANTA BARBARA CA US,4.9,34.41667,-119.68444,20041208 12:00,0.10, , 
